,wave_id,transcript,Speaker,Gender,Age_Range,Pronunciation_dialect
10342,b0440,"There were stir and bustle, new faces, and fresh facts.",1064,Male,Adult,American English
34924,b0205,You were destroying my life.,3593,Male,Adult,European English
56209,a0165,They are to attack your camp tomorrow night.,5739,Male,Adult,American English
57820,rp-10,Throughout the centuries people have explained the rainbow in various ways.,5901,Male,Adult,Canadian English
38667,e0264,Please plan to attend a meeting on Friday. I would like to discuss any issues you have with the way the model works.,3973,Male,Adult,European English
8354,b0374,"To say the least, Captain Cook was a rather thorough going empiricist.",859,Male,Adult,Canadian English
22660,en-0491,"oh, that's right - it was Father's Day - wasn't it...",2337,Male,Youth,Indian English
35363,b0144,But there was no longer the mother yearning in his heart.,3637,Male,Adult,South African English
9703,b0102,I'll only be in the way.,997,Male,Adult,Australian English
57159,a0305,"They had no fixed values, to be altered by adjectives and adverbs.",5834,Male,Youth,European English
164,b0354,It's that much junk.,18,Male,Adult,New Zealand English
7919,b0409,The dirk mentioned by Wolf Larsen rested in its sheath on my hip.,814,Male,Adult,American English
38333,ar-16,Just then the old rat saw Arthur. Stop. he ordered coarsely.,3939,Male,Adult,American English
16410,b0452,They saw each other for the first time in Boston.,1679,Male,Adult,British English
23559,a0581,It was this proposition that started the big idea in Daughtry's mind.,2430,Male,Adult,American English
16029,b0281,Just the same I'd sooner be myself than have book indigestion.,1640,Male,Adult,American English
11185,rb-08,"the amount of available ""screen real-estate"".",1149,Male,Adult,American English
559,a0180,"If not, let's say our prayers and go to bed.",58,Male,Youth,European English
34120,a0119,Jeanne was turning the bow shoreward.,3496,Male,Adult,American English
57785,a0027,To my surprise he began to show actual enthusiasm in my favor.,5898,Male,Adult,American English
38066,a0145,"I have to be careful of them, as they tear very easily.",3912,Male,Adult,Other
43302,b0455,His reward should have been peace and repose.,4439,Male,Adult,American English
46859,b0336,"How old are you, mother.",4798,Male,Adult,American English
38181,a0330,Red-Eye never committed a more outrageous deed.,3924,Male,Adult,American English
32426,b0167,"A little before dawn of the day following, the fire relief came.",3327,Male,Adult,American English
11901,b0362,We threaten to be of the one mind before the voyage is completed.,1222,Male,Adult,American English
21305,a0556,"Why, he's bought forty pounds of goods from you already.",2181,Male,Adult,Indian English
4570,a0394,It's the strap hangers that'll keep us from going under.,471,Male,Adult,American English
49537,a0389,"Mab, she said.",5071,Male,Adult,American English
53722,a0399,And here's another idea.,5490,Male,Youth,European English
34543,b0339,"Well, I'll be plumb gosh darned.",3539,Male,Adult,Canadian English
7461,a0312,It lived in perpetual apprehension of that quarter of the compass.,767,Male,Adult,Canadian English
8612,a0031,They were three hundred yards apart.,884,Male,Adult,American English
17851,b0056,"I'll give a thousand if you produce her, retorted Gregson.",1824,Male,Adult,American English
49191,b0044,For a few moments he ate in silence.,5037,Male,Youth,American English
32275,a0478,"Also, she has forbidden them smoking their pipes in the after-room.",3312,Male,Adult,American English
18601,b0177,"Her gray eyes were flashing, and her lips were quivering.",1901,Male,Adult,American English
37452,b0480,"Without discussion, it was the agents provocateurs who caused the Peasant Revolt.",3851,Male,Adult,American English
39869,b0003,I can see that knife now.,4094,Male,Adult,Indian English
50345,b0379,Christmas is an easy problem compared with a Polynesian giving-feast.,5152,Male,Adult,Australian English
49862,e0117,"A buddy in Korea sent this to me, this is for all you computer jockey's out there",5104,Male,Adult,American English
29392,a0288,"Those are my oysters, he said at last.",3018,Male,Adult,American English
39642,a0410,So we have to fit the boat throughout with oil lamps as well.,4071,Male,Adult,British English
15723,a0241,I think it's much nicer to quarrel.,1609,Male,Youth,American English
21779,a0272,You can take a vacation on pay.,2233,Male,Adult,Australian English
2837,b0349,In such a tumbling of values was no time to sell.,292,Male,Youth,American English
1801,b0381,And how would we ever find ourselves.,184,Male,Adult,American English
41000,a0248,I had been sad too long already.,4208,Male,Adult,American English
36776,a0537,He was an enthusiast and a desert dweller.,3781,Male,Adult,American English
22756,en-0305,and connectivity to the back office systems,2350,Male,Adult,Australian English
35717,ar-03,"he would only answer, ""I don't know;"" he wouldn't say yes or no either.",3672,Male,Youth,British English
