,wave_id,transcript,Speaker,Gender,Age_Range,Pronunciation_dialect,target
0,/Users/prem/Desktop/Speech_Corpus/1064/wav/b0440.wav,"There were stir and bustle, new faces, and fresh facts.",1064,Male,Adult,American English,0
1,/Users/prem/Desktop/Speech_Corpus/3593/wav/b0205.wav,You were destroying my life.,3593,Male,Adult,European English,0
2,/Users/prem/Desktop/Speech_Corpus/5739/wav/a0165.wav,They are to attack your camp tomorrow night.,5739,Male,Adult,American English,0
3,/Users/prem/Desktop/Speech_Corpus/5901/wav/rp-10.wav,Throughout the centuries people have explained the rainbow in various ways.,5901,Male,Adult,Canadian English,0
4,/Users/prem/Desktop/Speech_Corpus/3973/wav/e0264.wav,Please plan to attend a meeting on Friday. I would like to discuss any issues you have with the way the model works.,3973,Male,Adult,European English,0
5,/Users/prem/Desktop/Speech_Corpus/859/wav/b0374.wav,"To say the least, Captain Cook was a rather thorough going empiricist.",859,Male,Adult,Canadian English,0
6,/Users/prem/Desktop/Speech_Corpus/2337/wav/en-0491.wav,"oh, that's right - it was Father's Day - wasn't it...",2337,Male,Youth,Indian English,0
7,/Users/prem/Desktop/Speech_Corpus/3637/wav/b0144.wav,But there was no longer the mother yearning in his heart.,3637,Male,Adult,South African English,0
8,/Users/prem/Desktop/Speech_Corpus/997/wav/b0102.wav,I'll only be in the way.,997,Male,Adult,Australian English,0
9,/Users/prem/Desktop/Speech_Corpus/5834/wav/a0305.wav,"They had no fixed values, to be altered by adjectives and adverbs.",5834,Male,Youth,European English,0
10,/Users/prem/Desktop/Speech_Corpus/18/wav/b0354.wav,It's that much junk.,18,Male,Adult,New Zealand English,0
11,/Users/prem/Desktop/Speech_Corpus/814/wav/b0409.wav,The dirk mentioned by Wolf Larsen rested in its sheath on my hip.,814,Male,Adult,American English,0
12,/Users/prem/Desktop/Speech_Corpus/3939/wav/ar-16.wav,Just then the old rat saw Arthur. Stop. he ordered coarsely.,3939,Male,Adult,American English,0
13,/Users/prem/Desktop/Speech_Corpus/1679/wav/b0452.wav,They saw each other for the first time in Boston.,1679,Male,Adult,British English,0
14,/Users/prem/Desktop/Speech_Corpus/2430/wav/a0581.wav,It was this proposition that started the big idea in Daughtry's mind.,2430,Male,Adult,American English,0
15,/Users/prem/Desktop/Speech_Corpus/1640/wav/b0281.wav,Just the same I'd sooner be myself than have book indigestion.,1640,Male,Adult,American English,0
16,/Users/prem/Desktop/Speech_Corpus/1149/wav/rb-08.wav,"the amount of available ""screen real-estate"".",1149,Male,Adult,American English,0
17,/Users/prem/Desktop/Speech_Corpus/58/wav/a0180.wav,"If not, let's say our prayers and go to bed.",58,Male,Youth,European English,0
18,/Users/prem/Desktop/Speech_Corpus/3496/wav/a0119.wav,Jeanne was turning the bow shoreward.,3496,Male,Adult,American English,0
